,State,Year,Title,Summary,ID,Measure_Type,Topic_Areas,Election,Percent_Yes,Ballot_Type,Pass
10,Alabama,2000,Provide that counties and incorporated municipalities in Alabama receive a minimum of 10 percent of the trust income from the Alabama Trust Fund when the trust income in the preceding fiscal year exceeds $60 million,"Legislative Constitutional Amendment<BR>  Proposing an amendment to the Constitution of Alabama of 1901, to provide that counties and incorporated municipalities in Alabama receive a minimum of 10 percent of the trust income from the Alabama Trust Fund when the trust income in the preceding fiscal year exceeds sixty million dollars ($60,000,000); and to provide that the funds distributed to the counties and incorporated municipalities shall be expended as provided by general law. (Proposed Act No. 1999-393)",Proposed Amendment No. 3,Legislative Referendum,Budgets,General,0.7,,1
11,Alabama,2000,Repeal the provision that no district ad valorem tax shall be voted upon or collected except in those counties that are levying and collecting a special countywide ad valorem tax,"Legislative Constitutional Amendment<BR>  Proposing an amendment to the Constitution of Alabama of 1901, to repeal the provision that no district ad valorem tax shall be voted upon or collected except in those counties that are levying and collecting a special countywide ad valorem tax. (Proposed by Act No. 2000-242)",Proposed Amendment No. 4,Legislative Referendum,Local Government,General,0.62,,1
12,Alabama,2000,Require the Fayette County Commission to levy an additional ad valorem tax for fire protection and rescue squads,"Legislative Constitutional Amendment<BR>  Relating to Fayette County, proposing an amendment to the Constitution of Alabama of 1901, to require the county commission to levy an additional ad valorem tax for fire protection and rescue squads in Fayette County. (Proposed by Act No. 2000-402)",Proposed Amendment No. 8,Legislative Referendum,Local Government,General,0.6,,1
13,Alabama,2000,Specifies the membership of the Board of Trustees of Auburn University,"Legislative Constitutional Amendment<BR>  Proposing an amendment to the Constitution of Alabama of 1901, to provide that the Board of Trustees of Auburn University shall be composed of one member from each of the congressional districts in the state as constituted on January 1, 1961, one member from Lee County, the current State Superintendent of Education who upon leaving office shall be replaced by an at-large member, two other at-large members, and the Governor; to specify the method of appointment and service duration; and to provide for limited seven-year terms of office. (Proposed by Act No. 2000-590)",Proposed Amendment No. 5,Legislative Referendum,Education: Higher Ed,General,0.69,,1
14,Alabama,2002,"Proposing an amendment to the Constitution of Alabama of 1901, providing that any new proposed Constitution of Alabama adopted to replace the existing Constitution of Alabama of 1901, shall become effective only upon its ratification by a majority of the","Specifies that any proposed Constitution of Alabama adopted to replace the existing Constitution of Alabama of 1901, whether adopted by a constitutional convention pursuant to Section 286 or by any other constitutionally authorized method now in existence or subsequently adopted, shall become effective only if the proposed constitution is ratified by a majority of the qualified electors of the state voting on the question of such ratification.<BR>  <BR>  Prior to the ratification election, the text of the proposed constitution shall be published in the same manner as the proclamation of the election.  The proposed constitution shall be published on a separate sheet or sheets and circulated with the newspapers in which the proclamation is published.  The Legislature may also provide for other methods of publishing the text of the proposed constitution.<BR>  <BR>  The result of the election shall be made known by proclamation of the Governor.  If the proposed constitution is ratified as provided in this amendment, it shall become effective on the first day of January following ratification, unless otherwise provided in the ratified constitution.  If the ratified constitution provides otherwise, the effective date shall be as provided in the ratified constitution.<BR>  <BR>  The Legislature shall provide for the notice, and procedures related to the election, canvassing, proclamation, and costs which are in conformity with this amendment.  If proposed by convention, the election shall be held at the next general election not less than 90 days following the adjournment of the convention at which it was proposed.",Proposed Amendment 1,Legislative Referendum,Civil & Constitutional Law,General,0.81,,1
15,Alabama,2002,"Proposing an amendment to the Constitution of Alabama of 1901, to establish the General Fund Rainy Day Account within the Alabama Trust Fund.",Proposing an amendment to the Constitution of Alabama 1901 to establish the General Fund Rainy Day Account; to credit to the General Fund Rainy Day Account within the Alabama Trust Fund an amount not to exceed six percent of fiscal year 2003 General Fund appropriations; and to provide for the transfer of additional amounts to the County and Municipal Government Capital Improvement Trust Fund so as to prevent loss of interest funds in years of proration when funds are withdrawn from the General Fund Rainy Day Account.,Proposed Amendment 2,Legislative Referendum,Budgets,General,0.499,,0
16,Alabama,2002,"Proposing an amendment to the Constitution of Alabama of 1901, to provide a means by which members of the sheep and goat industry may organize and by referendum levy upon themselves assessments for the purpose of financing promotional programs for the she","Proposes an amendment to the Constitution of Alabama of 1901 relating to the promotion of the production, marketing, use, and sale of sheep and goats and their products; provides a means by which members of the sheep and goat industry may organize and by referendum levy upon themselves assessments for the purpose of financing promotional programs; provides a means of collecting, disbursing, and expending any assessments; provides for the refund of assessments; and provides for the promulgation of rules and procedures.",Proposed Amendment 3,Legislative Referendum,Agriculture,General,0.66,,1
17,Alabama,2003,Alabama Excellence Initiative Fund,"(Scheduled for September 9 special election)<BR>  <BR>  Proposing an amendment to the Constitution of Alabama of 1901, establishing the Alabama Excellence Initiative Fund which may be used to fund programs including, but not limited to, the furtherance of excellence in public education, college scholarships, health care benefits for senior citizens and job training programs to attract new high paying jobs and otherwise provide for distributing state tax revenues; to adjust income and property taxes; to establish the General Fund Rainy Day Account; to provide for the replenishment of the General Fund Rainy Day Account and the Education Trust Fund Rainy Day Account. (Proposed by Act No. 2003-78)",Amendment 1,Legislative Referendum,Budgets,Special,0.325,Amendment,0
18,Alabama,2004,City of Trussville,"Relating to the City of Trussville in Jefferson and St. Clair Counties, proposing an amendment to the Constitution of Alabama of 1901, to authorize the City of Trussville to annex certain property; to provide for the levy of an ad valorem tax for public school purposes in the City of Trussville; and to provide for the rate of levy of the tax and the manner of conducting elections with respect to the tax.  (Proposed by Act 2004-259)",Proposed Amendment 5,Legislative Referendum,Education: PreK-12,General,0.44799999999999995,Amendment,0
19,Alabama,2004,County Economic and Industrial Development,"Proposing an amendment to the Constitution of Alabama of 1901, to authorize a county commission of any county or any municipality therein to perform certain actions for the purpose of economic and industrial development in the county.  (Proposed by Act 2004-94)",Proposed Amendment 3,Legislative Referendum,Economic Development,General,0.555,Amendment,1
20,Alabama,2004,Economic and Industrial Development in Baldwin County,"Proposing an amendment to the Constitution of Alabama of 1901, to authorize Baldwin County and certain governmental entities within the county to have certain powers for the propotion of economic and industrial devleopment in Baldwin County and the municipalities therein.  (Proposed by Act 2003-187)",Proposed Amendment 1,Legislative Referendum,Economic Development,General,0.557,Amendment,1
21,Alabama,2004,Judges of Probate in Crenshaw County,"Relating to Crenshaw County, proposing an amendment to the Constitution of Alabama of 1901, to repeal, effective beginning the next ter mof office of the Judge of Probate of Crenshaw County, Constitutional Amendment No. 496, which provides for the judge of probate to receive the same salary as the district judge in the county.  (Proposed by Act 2004-291)",Proposed Amendment 6,Legislative Referendum,Judiciary,General,0.447,Amendment,0
22,Alabama,2004,"Macon County Tax on Sale of Tobacco, Liquor and Wine","Relating to Macon County, proposing an amendment to the Constitution of Alabama of 1901, to allow the Legislature, by local law, to authorize the Macon County Commission to levy a tax on the sale of all tobacco products and liquor or wine and to provide for the collection and distribution of the proceeds of any tax levied by any such local act.  (Proposed by Act 2004-536)",Proposed Amendment 7,Legislative Referendum,Drug/Alcohol/Tobacco Policy,General,0.469,Amendment,0
23,Alabama,2004,Motor Vehicle Taxes,"Proposing an amendment to Amendment 93 of the Constitution of Alabama of 1901, as amended by Amendment 354 to the Constitution of Alabama of 1901, to authorize the Legislature to levy an excise tax in lieu of ad valorem taxes on designated motor vehicles, and provide for the proceeds of the excise tax to be distributed to those entities currently or hereafter authorized to receive ad valorem taxes on motor vehicles.  (Proposed by Act 2004-537)",Proposed Amendment 8,Legislative Referendum,Tax & Revenue,General,0.315,Amendment,0
24,Alabama,2004,Promotion of Shrimp and Seafood,"Proposing an amendment to the Constitution of Alabama of 1901, to provide for the promotion of shrimp and seafood. (Proposed by Act 2004-258)",Proposed Amendment 4,Legislative Referendum,Business & Commerce,General,0.63,Amendment,1
25,Alabama,2004,Repeal Constitutional Provisions,"Proposing an amendment to the Constitution of Alabama of 1901, to repeal portion so f Section 256 and Amendment 111 relating to separation of schools by race and repeal portions of Amendment 111 concerning constitutional construction against the right to education, and to repeal Section 259, Amendment 90, and Amendment 109 relating to the poll tax. (Proposed by Act 2003-203)",Proposed Amendment 2,Legislative Referendum,Civil & Constitutional Law,General,0.499,Amendment,0
26,Alabama,2006,Additional Local Ad Valorem Property Tax in Certain School Districts,"Proposing an amendment to the Constitution of Alabama of 1901, to require the levy of an additional local ad valorem property tax in those school districts of the State in which local ad valorem property taxes for general public school purposes totaling less than 10.0 mills are otherwise levied, so as to ensure that such taxes totaling at least such amount are levied for such purposes in every school district in the State of Alabama. (Proposed by Act 2005-215)",Amendment 2,Legislative Referendum,Education: PreK-12,General,0.586,,1
27,Alabama,2006,Alabama Foreign Trade Investment Zone,"Proposing an amendment to the Constitution of Alabama of 1901, authorizing the governing body of the City of Prichard to establish an Alabama Foreign Trade Investment Zone as a special tax district for the purpose of importing duty free and quota free articles eligible under the United States General System of Preferences and the Africa Growth and Opportunities Act; would specify that the value of land and improvements on the land within the district would be assessed and taxed for ad valorem tax purposes by county tax officials under a single site valuation system; and would provide further for the contractual powers of nonprofit organizations. (Proposed by Act 2005-105)",Amendment 1,Legislative Referendum,Economic Development,General,0.498,,0
28,Alabama,2006,Macon County Board of Education,"Relating to Macon County, proposing an amendment to the Constitution of Alabama of 1901, to provide for the election of the Macon County Board of Education from four single-member districts and the county at large, and to provide for staggered six-year terms of office. (Proposed by Act 2006-512)",Amendment 3,Legislative Referendum,Education: PreK-12,General,0.612,,1
29,Alabama,2006,Marriage,"Considered in the June 6, 2006 Primary Election<BR>  Proposing an amendment to the Constitution of Alabama of 1901, to provide that no marriage license shall be issued in Alabama to parties of the same sex and that the state shall not recognize a marriage of parties of the same sex that occurred as a result of the law of any other jurisdiction (Proposed by Act 2005-35).",Constitutional Amendment 1,Legislative Referendum,Civil & Constitutional Law,Primary,0.812,,1
30,Alabama,2007,Capital Improvement Trust Fund Bonds,"Considered in a June 5, 2007 special election.<BR>  Proposing an amendment to the Constitution of Alabama of 1901, as amended, relating to the Capital Improvement Trust Fund to increase the amount of General Obligation Bonds authorized herein and to provide for competitive bidding of said bonds. (Proposed by Act 2007-005)",Amendment 1,Legislative Referendum,Bond Measures,Special,0.79,,1
31,Alabama,2007,Funds for Health Care Costs,"Considered in a June 5, 2007 special election.<BR>  Proposing an amendment to the Constitution of Alabama of 1901, to require that funds dedicated for the purpose of paying health care costs of retired state and educational employees be used for that purpose. (Proposed by Act 2007-007)",Amendment 2,Legislative Referendum,Budgets,Special,0.838,,1
32,Alabama,2008,Annexation in Blount County,"Relating to Blount County, proposing an amendment to the Constitution of Alabama of 1901, to prohibit any muncipality that is not located wholly or in part within the boundaries of Blounty County on the effective date of this amendment from annexing any territory within Blount County without the approval of the electorate of Blount County expressed in a vote on the issue of the annexation (proposed by Act 2008-285).",Amendment 4,Legislative Referendum,Local Government,General,0.569,Amendment,1
33,Alabama,2008,City of Tuskegee Utilities Board,"Relating to the City of Tuskegee in Macon County, proposing an amendment to the Constitution of Alabama of 1901, to provide for the election of two persons to the utilities board and the term of office of, procedure for filling of vacancies in, and compensation of, the positions; and to provide for who may vote in the election (proposed by Act 2008-293).",Amendment 6,Legislative Referendum,Energy & Electric Utilities,General,0.579,Amendment,1
34,Alabama,2008,Court Costs in Russell County,"Relating to Russell County, proposing an amendment to the Constitution of Alabama of 1901, to authorize the Legislature, by local or general act, to fix, regulate and alter the costs and charges of court and to ratify and confirm any local law authorizing any additional court costs enacted prior to the adoption of this amendment (proposed by Act 2008-288).",Amendment 5,Legislative Referendum,Judiciary,General,0.452,Amendment,0
35,Alabama,2008,Equalizing School Taxes in the City of Madison,"Proposing an amendment to the Constitution of Alabama of 1901, providing for the levy of ad valorem tax for public school purposes in the portion of Madison located in Limestone County for the purpose of equalizing the rate of ad valorem taxation in those portions of the City of Madison located in Limestone County with those portions of the City located in Madison County and providing for the manner of conducting elections with respect to the tax.  (proposed by Act 2007-360)",Amendment 3,Legislative Referendum,Education: PreK-12,General,0.505,Amendment,1
36,Alabama,2008,Rainy Day Accounts,"Proposing an amendment to the Constitution of Alabama of 1901, to repeal Amendment 709 to the Constitution of Alabama of 1901; to reestablish the Education Trust Fund Rainy Day Account within the Alabama Trust Fund; and to establish the General Fund Rainy Day Account within the Alabama Trust Fund (proposed by Act 2008-508).",Amendment 1,Legislative Referendum,Budgets,General,0.568,Amendment,1
37,Alabama,2008,Shelby County Judicial Commission,"Relating to Shelby County, proposing an amendment to the Constitution of Alabama of 1901, establishing the Shelby County Judicial Commission and providing for the filling of vacancies in the office of circuit and district court judge of the 18th Judicial Circuit (proposed by Act 2007-225)",Amendment 2,Legislative Referendum,Judiciary,General,0.603,Amendment,1
38,Alabama,2010,Blount County,"Relating to Blount County, proposing an amendment to the Constitution of Alabama of 1901, to prohibit any municipality located entirely outside Blount County from imposing any municipal ordinance or regulation, including, but not limited to any tax, zoning, planning, or sanitation regulations, and any inspection service in its police jurisdiction located in Blount County and to provide that a municipality prohibited from imposing any tax or regulation under this amendment shall not provide any regulatory function or police or fire protection services in its police jurisdiction located in Blount County, other than public safety mutual aid. (Proposed by Act No. 2010-226)",Amendment 4,Legislative Referendum,Local Government,General,0.496,Amendment,0
39,Alabama,2010,Promotion of Propane Gas,"Appeared on the June 1 primary ballot.<BR>  Proposing an amendment to the Constitution of Alabama of 1901, relating to the promotion of propane gas by authorizing the Legislature to enact legislation providing for an assessment on the members of the propane gas industry for the purpose of financing promotion programs.<BR>  (Proposed by Act 2009-547)",Constitutional Amendment,Legislative Referendum,Energy & Electric Utilities,Primary,0.4,Amendment,0
40,Alabama,2010,Special Ad Valorem Tax Assessments and Collections,"Proposing an amendment to the Constitution of Alabama of 1901 to provide that the provision in Amendment 778, now appearing as Section 269.08 of the Official Recompilation of the Constitution of Alabama of 1901, as amended, which prohibits the payment of any fees, charges, or commissions for the assessment and collection of any special ad valorem tax on taxable property levied by the county commission pursuant to Amendment 778 (Section 269.08) shall only apply to any ad valorem tax first levied and collected pursuant to Amendment 778 (Section 269.08) for the tax year commencing October 1, 2006.  (Proposed by Act 2009-286)",Amendment 1,Legislative Referendum,Local Government,General,0.452,Amendment,0
41,Alabama,2010,Special County Educational Taxes,"Proposing an amendment to the Constitution of Alabama of 1901, to amend Section 269 of the Constitution of Alabama of 1901, as amended by Amendment No. 111 to the Constitution of Alabama of 1901, now appearing as Section 269 of the Official Recompilation of the Constitution of Alabama of 1901, as amended, relating to special county educational taxes, to provide that the taxes may be levied by a majority vote, not by three-fifths vote, of those voting at the election. (Proposed by Act No. 2009-551)",Amendment 2,Legislative Referendum,Education: PreK-12,General,0.47700000000000004,Amendment,0
42,Alabama,2010,Ten Year Road Bridge and Other Transportation Program,"Proposing an amendment to the Constitution of Alabama of 1901, as amended, relating to the Alabama Trust Fund, to provide for the appropriation of funds in the Alabama Trust Fund to be distributed for state and local transportation purposes and to provide funds to the County and Municipal Government Capital Improvement Fund. (Proposed by Act No. 2010-555)",Amendment 3,Legislative Referendum,Budgets,General,0.43,Amendment,0
43,Alabama,2012,Baldwin County Stockton Landmark District,"Relating to Baldwin County, proposing an amendment to the Constitution of Alabama of 1901, to define the Stockton Landmark District within the county and to prohibit the annexation by local law of any property within the district into any municipality. (Proposed by Act 2011-316)",Amendment 3,Legislative Referendum,Local Government,General,0.6779999999999999,Amendment,1
44,Alabama,2012,Banks and Banking,"Proposing an amendment to the Constitution of Alabama of 1901, effective January 1, 2014, to amend Section 247 relating to the authority of the Legislature concerning banks and banking, to repeal various other provisions of Article XIII concerning banks and banking; and to repeal Amendment 154 to the Constitution of Alabama of 1901, now appearing as Section 255.01 of the Official Recompilation of the Constitution of Alabama of 1901, as amended, subject to the contingency that a new Article XII of the state constitution is adopted that repeals existing Section 232 of the state constitution, and subject to the contingency that Sections 10A-2-15.01 and 10A-2-15.02, Code of Alabama 1975, are repealed. (Proposed by Act 2012-276)",Amendment 10,Legislative Referendum,Banking & Financial Services,General,0.54,Amendment,1
45,Alabama,2012,Corporations,"Proposing an amendment to the private corporation provisions of Article 12 of the Constitution of Alabama of 1901, to become effective January 1, 2014, to continue the authority of the Legislature to pass general laws pertaining to corporations and other entities; to continue the authority of the Legislature to regulate and impose a business privilege tax on corporations and other entities; and to repeal various provisions concerning private corporations, railroads, and canals. (Proposed by Act 2012-275)",Amendment 9,Legislative Referendum,Business & Commerce,General,0.578,Amendment,1
46,Alabama,2012,Forever Wild Land Trust,"Proposing an amendment to the Constitution of Alabama of 1901, relating to the Forever Wild Land Trust, to reauthorize the trust for a 20-year period. (Proposed by Act 2011-315)<BR>  <BR>  All moneys paid to the Forever Wild Land Trust pursuant to Section 7 of Amendment 543 of the Constitution of Alabama of 1901, now appearing as Section 7 of Section 219.07 of the Official Recompilation of the Constitution of Alabama of 1901, as amended, shall continue to be paid for a 20-year period beginning with the 2012-2013 fiscal year retroactive to October 1, 2012, and ending in the fiscal year 2031-2032.",Amendment 1,Legislative Referendum,Budgets,General,0.7509999999999999,Amendment,1
47,Alabama,2012,General Obligation Bonds,"$750 million for job incentives<BR>  <BR>  Proposing an amendment to the Constitution of Alabama of 1901, as amended, to allow issuance by the State from time to time of general obligation bonds under the authority of Section 219.04 and Section 219.041 to the Constitution of Alabama of 1901, as amended, so long as the aggregate principal amount of all such general obligation bonds at any time outstanding is not in excess of $750 million. This amendment would replace the maximum aggregate principal limitations currently contained in said Sections 219.04 and 219.041. The proposed amendment would also allow issuance by the State of general obligation refunding bonds under the authority of Sections 219.04 and 219.041 to the Constitution of Alabama of 1901, as amended, subject to certain minimum savings thresholds and limitations of maximum average maturity. (Proposed by Act 2012-567)",Amendment 2,Legislative Referendum,Bond Measures,General,0.6940000000000001,Amendment,1
48,Alabama,2012,Lawrence County,"Relating to Lawrence County, proposing an amendment to the Constitution of Alabama of 1901, to prohibit any municipality located entirely outside of Lawrence County from imposing any municipal ordinance or regulation, including, but not limited to, any tax, zoning, planning, or sanitation regulations, and any inspection service in its police jurisdiction located in Lawrence County and to provide that a municipality prohibited from imposing any tax or regulation under this amendment shall not provide any regulatory function or police or fire protection services in its police jurisdiction located in Lawrence County, other than public safety mutual aid.",Amendment 11,Legislative Referendum,Local Government,General,0.6609999999999999,Amendment,1
49,Alabama,2012,Legislator Compensation,"Proposing an amendment to the Constitution of Alabama of 1901, to repeal the existing  provisions for legislative compensation and expenses and establish the basic compensation of the Legislature at the median household income in Alabama; to require legislators to submit signed vouchers for reimbursement for expenses; and to prohibit the Legislature from increasing the compensation or expenses payable to its members. (Proposed by Act 2012-269)",Amendment 8,Legislative Referendum,Labor & Employment,General,0.684,Amendment,1
50,Alabama,2012,Mobile Area Water and Sewer System,"Proposing an amendment to the Constitution of Alabama of 1901, to provide for the transfer of the assets and liabilities of the Water Works and Sewer Board of the City of Prichard to the Board of Water and Sewer Commissioners of the City of Mobile, presently known as the Mobile Area Water and Sewer System. (Proposed by Act 2011-543)",Amendment 5,Legislative Referendum,Local Government,General,0.69,Amendment,1
51,Alabama,2012,Prohibit Mandatory Participation in any Health Care System,"Proposing an amendment to the Constitution of Alabama of 1901, to prohibit any person, employer, or health care provider from being compelled to participate in any health care system. (Proposed by Act 2011-617)",Amendment 6,Legislative Referendum,Civil & Constitutional Law,General,0.59,Amendment,1
52,Alabama,2012,Removes References to Segregation of Schools by Race and Repeals Poll Taxes,"Proposing an amendment to the Constitution of Alabama of 1901, to repeal portions of Amendment 111, now appearing as Section 256 of the Official Recompilation of the Constitution of Alabama of 1901, as amended, relating to separation of schools by race and to repeal Section 259, Amendment 90, and Amendment 109, relating to the poll tax. (Proposed by Act 2011-353)",Amendment 4,Legislative Referendum,Education: PreK-12,General,0.392,Amendment,0
53,Alabama,2012,Secret Ballot,"Proposing an amendment to the Constitution of Alabama of 1901, to amend Amendment 579 to the Constitution of Alabama of 1901, now appearing as Section 177 of the Official Recompilation of the Constitution of Alabama of 1901, as amended, to provide that the right of individuals to vote for public office, public votes on referenda, or votes of employee representation by secret ballot is fundamental. (Proposed by Act 2011-656)",Amendment 7,Legislative Referendum,Elections,General,0.6709999999999999,Amendment,1
54,Alabama,2014,American and Alabama Laws for Alabama Courts Amendment,"Proposing an amendment to the Constitution of Alabama of 1901, to prohibit the State of Alabama from giving full faith and credit to public acts, records, or judicial proceedings of another state that violate the public policy of the State of Alabama and to prohibit the application of foreign law in violation of rights guaranteed natural citizens by the United States and Alabama Constitutions, and the statutes, laws, and public policy thereof, but without application to business entities.",Amendment 1,Legislative Referendum,Civil & Constitutional Law,General,0.723,Amendment,1
55,Alabama,2014,Cotton Production,"Proposing an amendment to Amendment 388 to the Constitution of Alabama of 1901, now   appearing as Section 93 .06 of the official recompilation of the Constitution of Alabama of 1901,   as amended, relating specifically to the assessments authorized for cotton producers to support a   program for the promotion of the production, distribution, improvement, marketing, use, and sale   of cotton; to delete the requirement that assessments on cotton producers would be subject to   refund.",Amendment 1,Legislative Referendum,Agriculture,Primary,0.67,Amendment,1
56,Alabama,2014,Right to Bear Arms,"Proposing an amendment to the Constitution of  Alabama of 1901, to provide that every citizen has a  fundamental right to bear arms and that any restriction on  this right would be subject to strict scrutiny; and to provide that no international treaty or law shall prohibit, limit, or  otherwise interfere with a citizen's fundamental right to bear  arms.   Civil & Constitutional Law Alabama 9365 General Bonding Authority 2014 Amendment 2 50.5% unofficial Legislative Referendum Pass Proposing an amendment to the Constitution of  Alabama of 1901, as amended, relating to the Capital  Improvement Trust Fund, to increase the amount of the General  Obligation Bonds authorized herein; to provide for additional  payments from the Alabama Trust Fund to fund any bond issued;  to provide for competitive bidding of the bonds; and to  provide for the distribution of the proceeds for plans,  construction, and maintenance of Alabama National Guard  armories.""",Amendment 3,Legislative Referendum,Budgets,General,0.7240000000000001,Amendment,1
57,Alabama,2014,"Right to Hunt, Fish, and Harvest Wildlife","Proposing an amendment to the Constitution of  Alabama of 1901, to amend Amendment 597, now appearing as  Section 36.02 of the Official Recompilation of the  Constitution of Alabama of 1901, as amended, to clarify that  the people have the right to hunt, fish, and harvest wildlife  subject to reasonable regulations that promote conservation  and management of fish and wildlife and preserve the future of  hunting and fishing.     Animal Rights/Hunting & Fishing Alabama 9363 General Unfunded Mandates for City or County Board of Education 2014 Amendment 4 56.3% unofficial Legislative Referendum Pass Proposing an amendment to the Constitution of  Alabama of 1901, to prohibit a general law, whose purpose or  effect is to require a new or increased expenditure of at  least $50,000 of local funds annually, from becoming effective  with regard to a city or county board of education without  enactment by a 2/3 vote.""",Amendment 5,Legislative Referendum,Local Government,General,0.7979999999999999,Amendment,1
58,Alabama,2014,Unfunded Mandates for City or County Board of Education,"Proposing an amendment to the Constitution of  Alabama of 1901, to prohibit a general law, whose purpose or  effect is to require a new or increased expenditure of at  least $50,000 of local funds annually, from becoming effective  with regard to a city or county board of education without  enactment by a 2/3 vote.",Amendment 4,Legislative Referendum,Tax & Revenue,General,0.563,Amendment,1
59,Alabama,2016,Auburn University Board of Trustees Amendment,"Proposing an amendment to the Constitution of Alabama of 1901, to establish procedures to ensure that no more than three of the members of the Auburn University Board of Trustees shall have terms that expire in the same calendar year and to add two additional at-large members to the board to enhance diversity on the board.",Statewide Amendment 1,Legislative Referendum,Education: Higher Ed,General,0.7340000000000001,Amendment,1
